n,x,y,lab
530.0,-3.499143436567009,9.429455261308012,1
531.0,-3.4991850185709046,9.43226073066566,1
532.0,-3.4932576206404113,9.432282360954384,1
533.0,-3.478557645539499,9.429456925150939,1
534.0,-3.455269768355468,9.426555029141658,1
535.0,-3.431827811929766,9.42939038720607,1
536.0,-3.4201270660629874,9.435192592513788,1
537.0,-3.420195966615885,9.4380637008249,1
538.0,-3.4347279794310395,9.440849574392695,1
539.0,-3.452299310296847,9.44375863321308,1
540.0,-3.466964046138251,9.466769243686992,1
541.0,-3.469851487161933,9.498270267698482,1
542.0,-3.4611277065548918,9.58133843771907,1
543.0,-3.455250847135656,9.684452085230568,1
544.0,-3.4260074957304596,9.804745387514826,1
545.0,-3.402513673679345,9.893309328016672,1
546.0,-3.3820431384226843,9.941942256556555,1
547.0,-3.361460276646923,10.004776289255895,1
548.0,-3.343930094410798,10.047717729779103,1
549.0,-3.3292888522147774,10.07908405124989,1
550.0,-3.326311798658231,10.073366676067783,1
551.0,-3.3146801208226395,10.087682753904408,1
552.0,-3.294162719333288,10.144790113370396,1
553.0,-3.2706143864576944,10.233252525402465,1
554.0,-3.247227908855331,10.335970751187897,1
555.0,-3.2296878055158813,10.401508628140748,1
556.0,-3.220841163377498,10.435760463943447,1
557.0,-3.2238824407215323,10.430070537873824,1
558.0,-3.223842690660581,10.42437331939835,1
559.0,-3.2268688414850906,10.452816834986598,1
560.0,-3.2238175617334672,10.501376751039636,1
561.0,-3.197455105860327,10.59238690729695,1
562.0,-3.1681502590946664,10.663570902387505,1
563.0,-3.1241862145008135,10.71483849075936,1
564.0,-3.0920221183617063,10.74319654575403,1
565.0,-3.0655760084486543,10.757434467042676,1
566.0,-3.0362399574660497,10.79727511981189,1
567.0,-3.012831544777103,10.814264470326044,1
568.0,-2.960050790616757,10.808593748895316,1
569.0,-2.9278732679151367,10.783041462667013,1
570.0,-2.8897113151506835,10.74606906698504,1
571.0,-2.8749931121430192,10.726188694019152,1
572.0,-2.860441156107443,10.697758493888719,1
573.0,-2.839872167595469,10.657892097357776,1
574.0,-2.8310594128948976,10.623724922179768,1
575.0,-2.819398150185151,10.601036961472929,1
576.0,-2.8164723492796617,10.595318627652707,1
577.0,-2.810549142622826,10.578250131730627,1
578.0,-2.80766537090797,10.555423010781338,1
579.0,-2.8105847581306107,10.535496914871525,1
580.0,-2.8017593886912198,10.532669507694411,1
581.0,-2.787100692683475,10.532571912573658,1
582.0,-2.775285861266815,10.53541286079961,1
583.0,-2.769508667341054,10.538388584666047,1
584.0,-2.7694694155193393,10.544073195237273,1
585.0,-2.760751672760262,10.552477904865103,1
586.0,-2.74897310022929,10.56105887223084,1
587.0,-2.734303175727756,10.566828167645378,1
588.0,-2.7313708460736756,10.569636373357142,1
589.0,-2.728416492570789,10.578192255667982,1
590.0,-2.7314336680320177,10.589636552246674,1
591.0,-2.7343003981632177,10.60102112797968,1
592.0,-2.7402200412876416,10.603874913969634,1
593.0,-2.7431074883438593,10.603752604985393,1
594.0,-2.7372519650803064,10.606742613059389,1
595.0,-2.7313539519778,10.603842148385347,1
596.0,-2.7225684220961908,10.598104490336391,1
597.0,-2.719677022262723,10.615196355505613,1
598.0,-2.6932351120054476,10.63231169436493,1
599.0,-2.669810811725573,10.649424109924622,1
600.0,-2.6580653629982525,10.646557394949873,1
